"path";"PDF";"original";"extracted";"original value";"extracted value";"Precision";"Recall";"F1"
"TUW-137078";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-137078.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-137078-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-137078-xstream.xml"")";"INTRODUCTION --- ref1
EVALUATION METHODS --- ref6 ref4 ref3 ref5 ref2";"INTRODUCTION --- ref1
EVALUATION METHODS --- ref6 ref4 ref3 ref5 ref2";"100,00";"100,00";"100,00"
"TUW-138011";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-138011.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-138011-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-138011-xstream.xml"")";"Linking: the relation between a formal and informal guideline --- ref5 ref6
Introduction --- ref2 ref3 ref7 ref9 ref5
The case study --- ref9 ref10 ref1 ref8 ref9 ref4 ref10";"";"none extracted value";"0,00";"0,00"
"TUW-138447";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-138447.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-138447-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-138447-xstream.xml"")";"Results --- ref9 ref7 ref11 ref19 ref15 ref10 ref6 ref9 ref7 ref11 ref19 ref13 ref13 ref10 ref6 ref6 ref10
Linear network models --- ref15
Forward selection --- ref15 ref18 ref9 ref7 ref11 ref19 ref14
STATE OF THE ART --- ref16 ref3 ref20 ref2 ref15 ref4 ref6 ref10 ref6
Neural networks --- ref5 ref1 ref5 ref15 ref1
Training and test sets --- ref13
Non–linear network models --- ref6 ref10 ref6 ref6 ref10
Basis functions --- ref15
Radial basis function networks --- ref4
INTRODUCTION --- ref8
BACKGROUND --- ref15
Modified estimator for RBFN weights --- ref6 ref4 ref12 ref17 ref6";"¤ ¢ --- ref2";"0,00";"0,00";"0,00"
"TUW-138544";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-138544.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-138544-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-138544-xstream.xml"")";"INTRODUCTION --- ref1 ref2
MPEG-7 aggregation and localisation structures --- ref4
General framework design --- ref5 ref2 ref3
Overview --- ref5 ref6
Implementation details --- ref7";"";"none extracted value";"0,00";"0,00"
"TUW-138547";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-138547.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-138547-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-138547-xstream.xml"")";"Introduction --- ref4 ref5 ref6
Software --- ref3
Conclusions and future work --- ref6
Related work --- ref2 ref1 ref7 ref4 ref5 ref6 ref6 ref5 ref4";"";"none extracted value";"0,00";"0,00"
"TUW-139299";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-139299.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-139299-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-139299-xstream.xml"")";"The Plan Representation Language Asbru --- ref8 ref5
Related Work --- ref6 ref11 ref3 ref9 ref7
Introduction --- ref4 ref10
Design and Implementation --- ref1 ref2";"The Plan Representation Language Asbru --- ref8 ref5
Introduction --- ref4 ref10
Related Work --- ref6 ref3 ref7
Design and Implementation --- ref1 ref2";"100,00";"100,00";"100,00"
"TUW-139761";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-139761.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-139761-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-139761-xstream.xml"")";"Overview of Genetic Programming --- Koz92 Hol75
Fitness function and bloat control --- Koz92 PL04 PL04 PL04
Additional settings --- Rey92 Hol75 Fra94
Control parameters --- Koz92 Koz92
Option pricing --- Hul02 Nef00
Population size, number of generations and mutation --- Koz92 Keb99
Monte Carlo simulation of a GARCH process --- Dua95 GS96 Dua95 BBG97 BBG97 DS95 BBG97
Functions and terminals --- Keb99 Nol97
Terminal set and function set --- Koz92
Genetic operations --- Koz92 Fra94 Fra94 KBAK99 KBAK99
Introduction --- BCK92 Hol75 Koz92 K+03 Han98 DS01
GPOPdata --- Wei97
The Black-Scholes formula --- Hul02 Nef00 BS73 Nef00
Creation of the initial population --- Koz92 Fra94
Neural networks --- Han98 Han97 Han97 Han97
Discrete-time stochastic processes --- Hul02
The GARCH model --- Bol86 Eng82 BCK92 Han98
Some definitions and basic models --- Nef00 Hul02 Hul02 Hul02
Genetic algorithms --- BFM97 Mic92 Hol75 Koz92 Mic92
Automatic defined functions --- Koz94 KBAK99 KBAK99
Bloat control --- PL04 PL04 Koz92 PL04
Genetic Programming --- Keb99 Hul02
Comparison of the result with [DS01] --- DS01 DS01 DS01 DS01
Future issues --- DS01
Basic terminology --- Mic92 Mic92 Koz92
Strategic decisions of the new approach --- Koz92
A survey of existing approaches in option pricing --- Han97 DS95 Keb99
Comparison of the result with [Keb99] --- Keb99 Keb99 Keb99
Comparison of the result with [Han98] --- Han98 Han98 Han98
A random number generator library --- Dav02 Dav02 Dav02
GNU Scientific Library --- G+04 G+04
Libraries --- Str98
Genetic Programming --- Koz92 BNKF98 KBAK99
GARCH process --- Han98
New classes and functions --- Nol97 Zol86
Markov chain approximation --- DS01 Han98 DS01 DS01 Keb99
The Genetic Programming kernel --- Sin94 Fra94 Wei97 Obj03 Wei97 Wei97 Wei97 Wei97
Test results --- Vie97";"";"none extracted value";"0,00";"0,00"
"TUW-139769";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-139769.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-139769-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-139769-xstream.xml"")";"Branch and Cut --- ref31
Thesis Overview --- ref13
Long Runs --- ref2 ref14
Local Branching Extensions --- ref13 ref8
Generating Log Files --- ref2
Local Branching --- ref13
Greedy Heuristics --- ref38 ref37 ref38
Test File Format --- ref6
Cutting Plane Algorithms --- ref30 ref15 ref16 ref7 ref30 ref10 ref11 ref1 ref5
Evolutionary Algorithms --- ref33 ref34 ref35 ref6 ref9 ref18 ref17 ref33 ref39
Local Branching and Node Limits --- ref2
Algorithms for Knapsack Problems --- ref32 ref23 ref19
Relaxation-Based Heuristics --- ref3
Introduction --- ref25 ref30 ref13
Design of COIN/BCP --- ref36
Branch and Cut --- ref26 ref29 ref36 ref42
MK-gk11: 2500 variables, 100 constraints --- ref14
Multidimensional Knapsack Problems --- ref24 ref4
Hybrid Algorithms --- ref27 ref40 ref41
Introduction --- ref21
History --- ref12
Developing Applications with COIN/BCP --- ref36 ref36
Branch and Bound --- ref25 ref20
Tightening the Search Tree by Variable Fixing --- ref8
Test Results --- ref2 ref14
Relaxations --- ref22 ref20
COIN/BCP --- ref28";"1 --- ref1 ref1 ref2
Cutting Plane Algorithms --- ref27
Chapter 9 Test Results --- ref2 ref12
Long Runs --- ref2 ref12
. --- ref32
Relaxations --- ref19
Test File Format --- ref6
maximize --- ref18
Hybrid Algorithms --- ref24 ref34 ref35
Mknapcb9: 500 variables, 30 constraints --- ref12
Mknapcb7: 100 variables, 30 constraints --- ref1
Local Branching and Node Limits --- ref2
Chapter 1 Introduction --- ref22 ref27
Algorithms for Knapsack Problems --- ref29 ref20
3. --- ref13 ref14 ref7 ref27
Relaxation-Based Heuristics --- ref3 ref1
Branch and Cut --- ref28
Local Branching Extensions --- ref8
Chapter 5 COIN/BCP --- ref25
Evolutionary Algorithms --- ref30 ref31 ref6 ref9 ref16 ref15 ref33
B.1 Generating Log Files --- ref2
History --- ref11
Tightening the Search Tree by Variable Fixing --- ref8
Chapter 2 Branch and Cut --- ref23 ref26 ref36
d×n --- ref21 ref4
4. --- ref10 ref1 ref5
1 --- ref17
Branch and Bound --- ref22";"17,86";"18,52";"18,18"
"TUW-139781";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-139781.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-139781-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-139781-xstream.xml"")";"The Branch-and-Cut Part --- ref7 ref8 ref1 ref2 ref7 ref8
The Multidimensional Knapsack Problem --- ref4 ref7 ref8 ref8 ref6 ref1
Computational Experiments --- ref7 ref8 ref7 ref8 ref8 ref7 ref8 ref7 ref8 ref7 ref8 ref8
The Memetic Algorithm Part --- ref5 ref3 ref6 ref3 ref1";"Computational Experiments --- ref5
779 --- ref5 ref6 ref6 ref5 ref6 ref5 ref6
The Memetic Algorithm Part --- ref2 ref4 ref2
The Branch-and-Cut Part --- ref5 ref6 ref1
n --- ref3 ref5 ref6 ref6 ref4 ref1
777 --- ref1 ref3";"0,00";"0,00";"0,00"
"TUW-139785";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-139785.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-139785-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-139785-xstream.xml"")";"Test Cases --- ref7 ref34
Class qapChrom --- ref26
Trace Formulation --- ref10
Heuristics --- ref15
Exact Algorithms --- ref13 ref5 ref2
Metaheuristics --- ref16 ref19 ref4
Lower Bounds --- ref15 ref25 ref1 ref36
Simulated Annealing --- ref22 ref8 ref31 ref21
Problem Description --- ref27 ref24
Quadratic Assignment Problem --- ref23 ref27 ref39 ref20 ref14 ref5 ref27
Greedy Randomized Adaptive Search Procedure --- ref11 ref12 ref12 ref26 ref37 ref38
Basic Local Search --- ref28 ref29 ref30
Steinberg Wiring Problem --- ref40 ref6
Applications --- ref23
List of Figures --- ref33
Tabu Search --- ref16 ref41 ref3 ref17 ref18
Requirements --- ref35
Guided Local Search --- ref43 ref44 ref32 ref44 ref42 ref45
Experimental Results --- ref7 ref34
Formulations --- ref27 ref9
Parameters --- ref7
Antenna Assembly Sequence Problem --- ref33 ref33
Integer Linear Programming --- ref23";"Formulations --- ref25
22 --- ref19
Simulated Annealing --- ref20 ref8 ref28
i=1 --- ref25 ref22
. 29 --- ref30
Chapter 2 Quadratic Assignment Problem --- ref21 ref25 ref36 ref18 ref14 ref5 ref25
else --- ref1
Guided Local Search --- ref40
27 --- ref41 ref39 ref42
objective function --- ref41 ref29
29 --- ref12 ref24 ref34
Lower Bounds --- ref15 ref23 ref1 ref33
Trace Formulation --- ref10
Heuristics --- ref15
Steinberg Wiring Problem --- ref37 ref6
Chapter 4 Requirements --- ref32
Class qapChrom --- ref24
Exact Algorithms --- ref13 ref5 ref2
Test Cases --- ref7 ref31
Tabu Search --- ref16
Greedy Randomized Adaptive Search Proce- dure --- ref11 ref12
Chapter 6 Experimental Results --- ref7 ref31
Antenna Assembly Sequence Problem --- ref30
Chapter 3 Metaheuristics --- ref16 ref17 ref4
Applications --- ref21
23 --- ref38 ref3
20 --- ref26 ref27
Integer Linear Programming --- ref21";"14,29";"17,39";"15,69"
